Municipality,Year,pastures_area_var,pastures_area_munic,pastures_area_mean,agric_area_mean,agric_area_owned,tract_100ha,lu_cattle,lu_per_agric_area,farmers_female,farmers_over65,educ_none,educ_second_super,agric_time_full,inc_excl_agric,inc_mainly_ext,work_unit_100ha
Almeida,2014,0.8885303833448567,0.6611787572171726,13.826658696951585,30.65,0.6888469673583719,2.9,0.9249120893778756,0.39,0.30484160191273163,0.5032875074716079,13.4,11.765,19.21,0.3654890527639627,0.4913965586234494,2.9
Almeida,2015,0.866236460013828,0.6620905898793936,13.178821879382888,31.439999999999998,0.679952555987458,2.88,1.0,0.388,0.3085553997194951,0.5058438522674147,11.812000000000001,12.338000000000001,18.756,0.3651544866299485,0.5199464493323782,2.88
Almeida,2016,0.8439425366827994,0.6630533190087035,12.559277466559964,32.23,0.6705616783959634,2.86,1.0,0.386,0.3121070081170687,0.508288556076369,10.224,12.911,18.302,0.36480124575994977,0.5500899313142043,2.86
Almeida,2017,0.8216486133517708,0.6640713283413429,11.96621168046543,33.019999999999996,0.6606315737187846,2.84,1.0,0.384,0.3155068247930186,0.5106287760125308,8.636000000000001,13.484,17.848000000000003,0.3644277216903227,0.5819642613220083,2.84
Almeida,2018,0.7993546900207421,0.6651495199253359,11.397962536970097,33.809999999999995,0.6501144252528223,2.82,1.0,0.382,0.3187643772592836,0.5128710702157958,7.048000000000002,14.056999999999999,17.394000000000002,0.3640321157804569,0.6157229246838922,2.82
Almeida,2019,0.7770607666897135,0.6662933930571109,10.853004291845494,34.599999999999994,0.6389565904749358,2.8,1.0,0.38,0.3218884120171674,0.5150214592274678,5.460000000000001,14.629999999999999,16.94,0.3636124102496542,0.6515381068440814,2.8
Celorico da Beira,1995,0.8067421648670002,0.26231417414537234,2.2300524170064064,8.7,0.47740974172775225,2.36,0.11999536391340858,0.318,0.18520675596971464,0.41729761211415267,47.924,4.303999999999999,28.22,0.364646845242173,0.2878844968144139,17.720000000000002
Celorico da Beira,1996,0.8901501185146168,0.290576613908543,2.5485597949027294,8.95,0.46687070677544984,2.4699999999999998,0.11105617853785209,0.316,0.19401296938621626,0.4202985974966068,46.138,4.538,26.2,0.3754309344291891,0.28173869683709174,16.490000000000002
Celorico da Beira,1997,0.9735580721622333,0.3190629909026567,2.890678761338755,9.2,0.45624816585820577,2.58,0.1019257815381953,0.314,0.2034720050046919,0.4235220519236785,44.352000000000004,4.772,24.18,0.3863004712665505,0.2755442006594279,15.260000000000002
Celorico da Beira,1998,1.0569660258098499,0.3477759772615014,3.2591359428292996,9.45,0.4455411225400567,2.69,0.09259956703175451,0.312,0.2136592496345623,0.42699366574630493,42.566,5.005999999999999,22.16,0.3972564753594052,0.2693004272134074,14.030000000000001
Celorico da Beira,1999,1.1403739794574663,0.37671828780233163,3.6570945945945947,9.7,0.4347485644684183,2.8,0.08307279534343304,0.31,0.22466216216216217,0.43074324324324326,40.78,5.24,20.14,0.4082999825996172,0.2630067861492953,12.8
Celorico da Beira,2000,1.1263365815117197,0.38262028736557696,3.734456863429968,9.78,0.44042442786336716,3.01,0.08856868659441848,0.309,0.22555012224938875,0.43625567586447783,39.107,5.517,19.92,0.39596865102796713,0.27441086478071824,12.42
Celorico da Beira,2001,1.112299183565973,0.38886638185032407,3.817245119305856,9.86,0.44643120212139076,3.2199999999999998,0.09440599912756661,0.308,0.22650036153289946,0.4421547360809833,37.434,5.7940000000000005,19.7,0.3829183853859753,0.28647981732469063,12.040000000000001
Celorico da Beira,2002,1.0982617856202266,0.3954875666243053,3.9060509554140133,9.94,0.45279869501716574,3.4299999999999997,0.10061569887874507,0.307,0.2275196702884976,0.44848257774447364,35.761,6.071,19.48,0.3690844255609719,0.29927353426528325,11.66
Celorico da Beira,2003,1.08422438767448,0.4025186749579569,4.001555209953344,10.02,0.4595604051781454,3.64,0.10723258889121505,0.306,0.2286158631415241,0.45528771384136857,34.088,6.348000000000001,19.26,0.3543939927255661,0.3128593218350346,11.280000000000001
Celorico da Beira,2004,1.0701869897287333,0.4099989910200787,4.1045454545454545,10.1,0.4667541115931793,3.85,0.11429592223245905,0.305,0.2297979797979798,0.4626262626262626,32.415,6.625,19.04,0.33876500857632935,0.32731308646957924,10.9
Celorico da Beira,2005,1.0561495917829866,0.41797298424080714,4.215937762825904,10.18,0.474422579838239,4.0600000000000005,0.12185013626369767,0.304,0.23107653490328006,0.47056349873843567,30.742,6.902,18.82,0.3221045609939131,0.34272075377303424,10.52
Celorico da Beira,2006,1.04211219383724,0.42649119403306823,4.336804033318719,10.26,0.4826144128996099,4.2700000000000005,0.12994573724979044,0.303,0.23246383165278384,0.4791758000876808,29.069000000000003,7.179,18.6,0.30430705555196275,0.3591799780120288,10.14
Celorico da Beira,2007,1.0280747958914933,0.43561130205776005,4.468406593406593,10.34,0.49138508235504164,4.48,0.13864037249032105,0.302,0.23397435897435898,0.48855311355311354,27.396,7.4559999999999995,18.380000000000003,0.2852519751818952,0.37680221398919783,9.76
Celorico da Beira,2008,1.0140373979457467,0.44539944011290283,4.6122424532822235,10.42,0.5007981861508919,4.69,0.1480001380463505,0.301,0.23562529947292765,0.49880210828941063,25.723,7.733,18.16,0.2648011475371908,0.39571524419869053,9.38
Celorico da Beira,2009,1.0,0.4559317963496638,4.7701005025125625,10.5,0.5109269932756965,4.9,0.15810118475824528,0.3,0.23743718592964824,0.5100502512562815,24.05,8.01,17.94,0.24279538904899137,0.4160662824207493,9.0
Celorico da Beira,2010,0.9859626020542533,0.46729660234166315,4.712613293051359,10.58,0.5218563546945603,4.970000000000001,0.15837770682949637,0.324,0.24420946626384693,0.5085599194360524,22.377000000000002,8.286999999999999,17.720000000000002,0.255760541228749,0.4307112364880046,9.08
Celorico da Beira,2011,0.9719252041085067,0.4795966106981338,4.65489404641776,10.66,0.5336850860321256,5.04,0.15953451771281277,0.348,0.2510090817356206,0.5070635721493442,20.704,8.564,17.5,0.26979258720174665,0.44656131413422046,9.16
