Municipality,pastures_area_munic_ha
Sátão,759.5
Tondela,707.5
Vila Nova de Paiva,979.5
Viseu,792.5
Vouzela,695.0
Belmonte,1204.0
Castelo Branco,23137.0
Covilhã,2572.5
Fundão,5528.5
Idanha-a-Nova,50647.0
Oleiros,65.5
Penamacor,5287.5
Proença-a-Nova,456.5
Sertã,332.5
Vila de Rei,31.5
Vila Velha de Ródão,1723.0
Almeida,14468.0
Celorico da Beira,4063.5
Figueira de Castelo Rodrigo,11055.5
Fornos de Algodres,673.0
Gouveia,2612.5
Guarda,12319.0
Manteigas,436.5
Meda,2162.0
Pinhel,8955.5
Sabugal,16278.0
Seia,1200.5
Trancoso,4815.0
Mação,155.0
Alcobaça,878.5
Bombarral,69.5
Caldas da Rainha,219.0
Nazaré,49.0
Óbidos,105.0
Peniche,114.0
Alenquer,628.0
Arruda dos Vinhos,215.5
Azambuja,2163.0
Cadaval,78.0
Cascais,106.0
Lisboa,3.5
Loures,1218.0
Lourinhã,153.5
Mafra,1200.0
Oeiras,27.5
Sintra,1380.5
Sobral de Monte Agraço,318.0
Torres Vedras,510.0
Vila Franca de Xira,2193.0
Amadora,85.5
Odivelas,211.5
Abrantes,3621.5
Alcanena,1367.5
Almeirim,1000.0
Alpiarça,1792.0
Benavente,15613.0
Cartaxo,682.5
Chamusca,18093.0
Constância,86.0
Coruche,39389.0
Entroncamento,45.5
Ferreira do Zêzere,776.5
Golegã,386.5
Rio Maior,2060.5
Salvaterra de Magos,3010.5
Santarém,2741.0
Sardoal,83.0
Tomar,1199.5
Torres Novas,904.5
Vila Nova da Barquinha,213.0
Ourém,214.0
Alcochete,1710.5
Almada,61.0
Barreiro,81.0
Moita,249.5
Montijo,8284.5
Palmela,10204.0
Seixal,635.0
Sesimbra,1167.0
Setúbal,2178.0
Aljustrel,4121.0
Almodôvar,16606.0
Alvito,12027.0
Barrancos,12178.5
Beja,24406.5
Castro Verde,10304.5
Cuba,5929.0
Ferreira do Alentejo,13513.0
Mértola,48000.0
Moura,33002.5
Odemira,35297.5
Ourique,26648.5
Serpa,26126.0
Vidigueira,8908.5
Alandroal,21990.0
Arraiolos,29057.5
Borba,2202.5
Estremoz,16754.0
Évora,59508.5
Montemor-o-Novo,64430.0
Mora,22266.0
Mourão,14433.5
Portel,26450.5
Redondo,15422.0
Reguengos de Monsaraz,11927.5
Vendas Novas,12209.0
Viana do Alentejo,25955.0
Vila Viçosa,7572.0
Alter do Chão,21626.0
Arronches,11528.5
Avis,24658.0
Campo Maior,4781.5
Castelo de Vide,17323.5
Crato,21044.0
Elvas,23930.5
Fronteira,10538.0
Gavião,7436.0
Marvão,7623.5
Monforte,23419.0
Nisa,22102.5
Ponte de Sor,37201.0
Portalegre,20610.5
Sousel,8492.5
Alcácer do Sal,62329.0
Grândola,23417.0
Santiago do Cacém,27636.5
Sines,2840.0
Albufeira,206.5
Alcoutim,2557.5
Aljezur,1086.0
Castro Marim,2405.0
Faro,142.5
Lagoa,198.5
Lagos,615.0
Loulé,1832.0
Monchique,1244.5
Olhão,22.5
Portimão,805.0
São Brás de Alportel,97.5
Silves,2550.0
Tavira,966.0
Vila do Bispo,1558.5
Vila Real de Santo António,365.0
